"id_produk";"Title";"Price";"Luas_Bangunan";"Luas_Tanah";"Kamar_Tidur";"Tipe_Properti";"Tipe_Penawaran";"Lokasi"
"6076";"DIJUAL RUMAH SIAP HUNI GRIYO MAPAN SENTOSA";"375000000";"130";"130";"3";"Rumah";"Dijual";"Sidoar"
"6077";"Rumah Baru Hanya 375 Juta di Sidoarjo dekat Kawasan Bandara Juanda FREE IJB ";"230000000";"42";"72";"2";"Rumah";"Dijual";"Sidoar"
"6078";"Hunian Dengan Harga Terbaik Di Damarsi Dekat Bandara Juanda";"750000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6079";"Rumah dijual Juanda Land ";"1200000000";"36";"89";"2";"Rumah";"Dijual";"Sidoar"
"6080";"Dijual Rumah di Perumahan Deltasari Indah Sidoarjo";"1200000000";"75";"98";"2";"Rumah";"Dijual";"Sidoar"
"6081";"Dijual Rumah Pondok Mutiara Sidoarjo dkt Pondok Jati Taman Pinang Tol Sidoarjo";"581000000";"135";"135";"4";"Rumah";"Dijual";"Sidoar"
"6082";"Rumah Juanda Harapan Permai Type Tulip Dekat Bandara Gate Tol Terminal";"239000000";"30";"70";"2";"Rumah";"Dijual";"Sidoar"
"6083";"Rumah Murah 200 Jt.an 36/72 2kt 1km Perum STARFLOS GEDANGAN Sidoarjo";"600000000";"36";"72";"2";"Rumah";"Dijual";"Sidoar"
"6084";"rumah sidoarjo cluster mewah";"1100000000";"42";"72";"2";"Rumah";"Dijual";"Sidoar"
"6085";"Rumah Minimalis 2 Lantai Green Mansion Waru Sda";"1600000000";"156";"90";"3";"Rumah";"Dijual";"Sidoar"
"6086";"Rumah Kahuripan Nirwana Buduran Sidoarjo";"850000000";"70";"180";"2";"Rumah";"Dijual";"Sidoar"
"6087";"Rumah Bangunan 3 Lantai Sedati Juanda ";"1350000000";"105";"105";"3";"Rumah";"Dijual";"Sidoar"
"6088";"Dijual  rumah pondok chandra baru 2 lt";"1250000000";"120";"90";"3";"Rumah";"Dijual";"Sidoar"
"6089";"Rumah Permata Juanda Waru Sidoarjo";"1300000000";"140";"96";"3";"Rumah";"Dijual";"Sidoar"
"6090";"Rumah pepelegi waru  perum maspion";"1700000000";"250";"135";"5";"Rumah";"Dijual";"Sidoar"
"6091";"Dijual rumah gress traniko blok AB pondok buana sidoarjo";"850000000";"110";"162";"2";"Rumah";"Dijual";"Sidoar"
"6092";"Rumah Natura Residence Aman dan Nyaman";"949000000";"90";"90";"2";"Rumah";"Dijual";"Sidoar"
"6093";"(BLHD) Rumah Full Furnish Graha Al Ikhlas Juanda";"2147483647";"264";"195";"4";"Rumah";"Dijual";"Sidoar"
"6094";"Rumah Wisma Trosobo Sidoarjo";"875000000";"100";"148";"3";"Rumah";"Dijual";"Sidoar"
"6095";"Dijual rumah";"600000000";"84";"105";"2";"Rumah";"Dijual";"Sidoar"
"6096";"Rumah Terawat Baru renov";"1700000000";"120";"140";"3";"Rumah";"Dijual";"Sidoar"
"6097";"Jual Rumah Siap huni Buduran Sidoarjo 950Jt Nego Full Bangunan/ Bangunan Baru ";"950000000";"142";"71";"4";"Rumah";"Dijual";"Sidoar"
"6098";"Rumah pondok chandra cluster melon";"1300000000";"75";"120";"3";"Rumah";"Dijual";"Sidoar"
"6099";"Rumah di perum papyrus regency wedoro";"1650000000";"140";"199";"4";"Rumah";"Dijual";"Sidoar"
"6100";"Rumah di deltasari AD waru  sidoarjo";"1400000000";"210";"165";"5";"Rumah";"Dijual";"Sidoar"
"6101";"ALANA REGENCY cemandi rumah baru sidoarjo tipe 9x10";"521000000";"42";"90";"2";"Rumah";"Dijual";"Sidoar"
