"id_produk","Title","Price","Luas_Bangunan","Luas_Tanah","Kamar_Tidur","Tipe_Properti","Tipe_Penawaran","Lokasi"
"11402","Rumah Desain Suka2 Harga Mulai 165 Juta","47500000","224","60","2","Rumah","Disewakan","Suraba"
"11403","Disewakan rumah 2lantai siap huni","35000000","105","112","5","Rumah","Disewakan","Suraba"
"11404","Perum Sukolilo Dian Regency STRATEGIS BU ","65000000","300","105","2","Rumah","Disewakan","Suraba"
"11405","DisewakanSutorejo Prima","60000000","150","300","4","Rumah","Disewakan","Suraba"
"11406","Rumah Long Beach MINIMALIS SIAP HUNI ","45000000","160","126","3","Rumah","Disewakan","Suraba"
"11407","Rumah barata jaya Bebas banjir","50000000","144","160","4","Rumah","Disewakan","Suraba"
"11408","Di Sewakan Rumah Minimalis Pakuwon City","80000000","250","128","3","Rumah","Disewakan","Suraba"
"11409","Rumah San Diego Pakuwon City Siap Huni Minimalis","150000000","100","144","3","Rumah","Disewakan","Suraba"
"11410","Disewakan rumah 2 Lantai di Cluster Somerset Citraland Surabaya","60000000","153","198","5","Rumah","Disewakan","Suraba"
"11411","Rumah bagus Eastwood Citraland Surabaya","45000000","70","135","3","Rumah","Disewakan","Suraba"
"11412","Rumah STRATEGIS SIAP HUNI Pantai Mentari ","55000000","162","153","3","Rumah","Disewakan","Suraba"
"11413","DISEWAKAN ZIMBALI COSTA LAGUNA PAKUWON CITY ","35000000","42","60","2","Rumah","Disewakan","Suraba"
"11414","Disewakan rumah mewah raya mojoklanggru mewah 2 lantai ","300000000","600","900","4","Rumah","Disewakan","Suraba"
"11415","Rumah Dharmahusada Mas MINIMALIS SIAP HUNI carport akses pembantu","60000000","194","150","3","Rumah","Disewakan","Suraba"
"11416","Rumah Disewakan Purimas Regency","20000000","33","33","1","Rumah","Disewakan","Suraba"
"11417","Rumah Keputih STRATEGIS","35000000","125","125","7","Rumah","Disewakan","Suraba"
"11418","1062. North West Park NB 6 Citraland Surabaya Barat","30000000","70","90","2","Rumah","Disewakan","Suraba"
"11419","Disewakan Rumah North West Lake","30000000","56","55","2","Rumah","Disewakan","Suraba"
"11420","Baru Minimalis Northwest Lake","24999996","70","72","2","Rumah","Disewakan","Suraba"
"11421","Rumah di Klampis NEGO","70000000","375","375","6","Rumah","Disewakan","Suraba"
"11422","Disewakan Rumah Darmo Indah Barat Surabaya","35000000","162","162","3","Rumah","Disewakan","Suraba"
"11423","Disewa Rumah Surabaya Barat CITRALAND NORTH WEST PARK","30000000","42","72","2","Rumah","Disewakan","Suraba"
"11424","Rumah disewakan Wisma Lidah Kulon Surabaya","30000000","112","100","3","Rumah","Disewakan","Suraba"
"11425","Disewakan Rumah di Jl. Ketintang Permai Surabaya","65000000","200","200","3","Rumah","Disewakan","Suraba"
"11426","Rumah araya 2lantai ","75000000","225","250","4","Rumah","Disewakan","Suraba"
"11427","Disewakan Rumah Villa Sentra Raya","65000000","160","128","5","Rumah","Disewakan","Suraba"
